Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
The Handbook of Crisis Communication,W. Timothy Coombs; Sherry J. Holladay,,,19-01-2010,,,,,,,,#681,,"Åshild Kolås (2024-05-08 22:37:52)(Screen): This seems very relevant to public emergency communication, unless it's about corporate crisis management and public relations.; ",""
COVID-19 and Future Disease X in Circular Economy Transition: Redesigning Pandemic Preparedness to Prevent a Global Disaster,Cristina Possas; Ernesto T. A. Marques; João Baptista Risi; Akira Homma,"The COVID-19 pandemic exposed a world surprisingly unprepared to respond to the new epidemiological scenario, even the developed countries, in spite of warnings from scientists since the 1990s. These alerts warned on the risks of an exponential increase in emergence of potentially pandemic zoonotic infectious diseases related to disruptive ecological niches in different regions of the globe, such as H1N1 Influenza, SARS, MERS, Zika, avian flu, swine flu, and Ebola, and also on the risks of a future and more lethal Disease X. We examine this global public health failure in anticipating and responding to the pandemic, stressing the urgent need for an innovative global pandemic preparedness system in the current transition from linear economy to a circular economy. Evidence provided here indicates that this novel preventive-based and resource-saving preparedness system could contribute to reverse the detrimental impacts of the pandemic on global economy and increase its resilience. Individual protection, contact tracing, and lockdown have proved to be just partially effective to respond to the spillover of viral zoonosis into the human population, and for most of these pathogens, vaccines are not yet available. As for COVID-19 vaccines, in spite of the extraordinary investments and unprecedented advances in innovative vaccines in few months, most of these products are expected to be available to more vulnerable developing countries’ populations only by mid-2022. Furthermore, even when these vaccines are available, constraints such as low efficacy, waning immunity, new concerning COVID-19 variants, adverse events, and vaccine hesitancy might possibly restrict their public health impact and could contribute to aggravate the pandemic scenario. Considering these constraints and the severe global economic and social crises resulting from the lack of adequate preparedness and delayed effective response to COVID-19 and possibly to a future Disease X, we propose a pro-active global eco-social pandemic preparedness system. This novel system, based on One Health paradigm and on artificial intelligence and machine learning, is expected to incorporate “spillover” foresight and management into global preparedness and timely response. Designed to mitigate damage from outbreaks and minimize human morbidity and mortality, this approach to pandemic foresight and preparedness will be key to prevent a global disaster.",,28-06-2021,,,,,,,,#689,,"",""
Social Media as Amedium of Crisis Communication Amongst University Campuses in Kisii County,"","Social media gives the ability to communicate quickly and effectively, revolutionizing the manner in which people communicate and gather information about stories and topics that are of interest to them. With the right tools in place, social media can play an important role in crisis communication. The use of social media in crisis communication has become common in the current digital age. The manifestation of social media usage is in the rapid growth and popularity of such social media platforms such as facebook, bandoo, flicker, twitter and whatsApp. As such this paper examined the applications of social media platforms in crisis communication in university management. The analysis targeted employees from different university campuses in Kisii County. The study sampled 108 employees of university campuses in Kisii County. Quantitative data that was collected were analyzed using descriptive statistics while qualitative data was examined and reported basing on various themes. Data indicated that various social media platforms are in use by the university campuses in their crisis communication. Whatsapp was noted to be the most used social media by the university campuses in Kisii County. As a tool for mobile devices, WhatsApp has several capabilities such as portability, ability to share several message formats such as graphics and geographical location, ability to send voice notes and ability to broadcast one message to many recipients. This makes it attractive to the majority of the users. Keywords: Crisis Communication, social media, digital age, telecommunication firms, crisis; crisis communication; whatsApp. DOI: 10.7176/NMMC/96-05 Publication date: May 31 st 2021",,01-05-2021,,,,,,,,#690,,"",""
986 A Systematic Review of Medical Student Willingness to Volunteer and Preparedness for Pandemics and Disasters,"","Abstract Introduction We aimed to identify motivators and barriers to volunteering during a disaster and knowledge and medical school curriculum of disaster and pandemic medicine. Method We systematically searched the literature on 28/6/2020, following PRISMA guidelines. Results A total of 37 studies met inclusion criteria including 11,168 medical students and 91 medical schools. 24 studies evaluated knowledge (64.9%), 16 evaluated volunteering (43.2%), and five evaluated medical school curricula (13.5%). Weighted mean willingness to volunteer during a disaster was 68.4% (SD = 21.7%, n = 2911), and there was a significant difference between those planning to volunteer and those who actually volunteered (P&amp;lt;.001). We identified a number of modifiable barriers which may contribute to this difference. Overall, knowledge of disasters was poor with a weighted mean of 48.9% (SD = 15.1%, n = 2985). Conclusions There is a large number of students who are willing to volunteer during pandemics. However, they are likely to be under-prepared for these roles due to poor overall knowledge and limited teaching. During the current COVID-19 pandemic and in future disasters, medical students may be required to volunteer as auxiliary staff. Medical schools need to develop infrastructure to facilitate this process as well as providing education and training to ensure students are adequately prepared for these roles.",,01-05-2021,,,,,,,,#728,,"",""
The Preparedness Level of Community in Facing Disaster in West Java Province,"","Preparedness in facing disaster becomes a must when living in disaster-prone areas. West Java province, Indonesia, has frequent disasters such as tsunamis, earthquakes and landslides. The level of preparedness to be important in minimizing the loss of life in case of disaster. This research aim at analyse the community preparedness in the face of the three disasters that often occur in their respective areas in West Java province. This research uses descriptive quantitative approach, with the survey method. The results showed that the level of preparedness of the community in the district of Pangandaran to the tsunami disaster has categorized Very Ready, people in Tasikmalaya regency for earthquake disaster has categorized Ready, and society in Garut for landslides has categorized Less Ready. In conclusion, there are significant differences between community preparedness in Pangandaran, Tasikmalaya and Garut regencies.",,01-04-2018,,,,,,,,#734,,"",""
"Role of pre-disaster discussions on preparedness on consensus-making of integrated flood management (IFM) after a flood disaster, based on a case in the Abukuma River Basin, Fukushima, Japan","","In October 2019, Typhoon Hagibis struck wide areas of Japan, including the Abukuma River Basin and caused a serious flood disaster. Four months later, based on the challenges of the disaster, relevant national and local authorities have agreed to carry out an integrated flood management (IFM) project, towards enhanced flood protection, \xe2\x80\x9cno one left behind\xe2\x80\x9d evacuation, and less socio-economic damage. The authors provide a brief report on the disaster with the preparedness and on this project with its consensus-making process, and then discuss the role of pre-disaster discussions on preparedness on consensus-making of IFM, in addition to their primary function.",,01-02-2021,,,,,,,,#735,,"",""
The Spread of COVID-19 Crisis Communication by German Public Authorities and Experts on Twitter: Quantitative Content Analysis (Preprint),"","<sec> <title>BACKGROUND</title> The COVID-19 pandemic led to the necessity of immediate crisis communication by public health authorities. In Germany, as in many other countries, people choose social media, including Twitter, to obtain real-time information and understanding of the pandemic and its consequences. Next to authorities, experts such as virologists and science communicators were very prominent at the beginning of German Twitter COVID-19 crisis communication. </sec> <sec> <title>OBJECTIVE</title> The aim of this study was to detect similarities and differences between public authorities and individual experts in COVID-19 crisis communication on Twitter during the first year of the pandemic. </sec> <sec> <title>METHODS</title> Descriptive analysis and quantitative content analysis were carried out on 8251 original tweets posted from January 1, 2020, to January 15, 2021. COVID-19\xe2\x80\x93related tweets of 21 authorities and 18 experts were categorized into structural, content, and style components. Negative binomial regressions were performed to evaluate tweet spread measured by the retweet and like counts of COVID-19\xe2\x80\x93related tweets. </sec> <sec> <title>RESULTS</title> Descriptive statistics revealed that authorities and experts increasingly tweeted about COVID-19 over the period under study. Two experts and one authority were responsible for 70.26% (544,418/774,865) of all retweets, thus representing COVID-19 influencers. Altogether, COVID-19 tweets by experts reached a 7-fold higher rate of retweeting (&lt;i&gt;t&lt;/i&gt;&lt;sub&gt;8,249&lt;/sub&gt;=26.94, &lt;i&gt;P&lt;/i&gt;&amp;lt;.001) and 13.9 times the like rate (&lt;i&gt;t&lt;/i&gt;&lt;sub&gt;8,249&lt;/sub&gt;=31.27, &lt;i&gt;P&lt;/i&gt;&amp;lt;.001) compared with those of authorities. Tweets by authorities were much more designed than those by experts, with more structural and content components; for example, 91.99% (4997/5432) of tweets by authorities used hashtags in contrast to only 19.01% (536/2819) of experts\xe2\x80\x99 COVID-19 tweets. Multivariate analysis revealed that such structural elements reduce the spread of the tweets, and the incidence rate of retweets for authorities\xe2\x80\x99 tweets using hashtags was approximately 0.64 that of tweets without hashtags (&lt;i&gt;Z&lt;/i&gt;=\xe2\x80\x936.92, &lt;i&gt;P&lt;/i&gt;&amp;lt;.001). For experts, the effect of hashtags on retweets was insignificant (&lt;i&gt;Z&lt;/i&gt;=1.56, &lt;i&gt;P&lt;/i&gt;=.12). </sec> <sec> <title>CONCLUSIONS</title> Twitter data are a powerful information source and suitable for crisis communication in Germany. COVID-19 tweet activity mirrors the development of COVID-19 cases in Germany. Twitter users retweet and like communications regarding COVID-19 by experts more than those delivered by authorities. Tweets have higher coverage for both authorities and experts when they are plain and for authorities when they directly address people. For authorities, it appears that it was difficult to win recognition during COVID-19. For all stakeholders studied, the association between number of followers and number of retweets was highly significantly positive (authorities &lt;i&gt;Z&lt;/i&gt;=28.74, &lt;i&gt;P&lt;/i&gt;&amp;lt;.001; experts &lt;i&gt;Z&lt;/i&gt;=25.99, &lt;i&gt;P&lt;/i&gt;&amp;lt;.001). Updated standards might be required for successful crisis communication by authorities. </sec>",,06-07-2021,,,,,,,,#736,,"",""
The Use of Social Media in Risk and Crisis Communication,"","This report highlights the changing landscape of risk and crisis communications and in particular how social media can be a beneficial tool, but also create challenges for crisis managers. It explores different practices of risk and crisis communications experts related to the use of social media and propose a framework for monitoring the development of practices among countries in the use of social media for risk and crisis communications. The three step process spans passive to dynamic use of social media, and provides governments a self-assessment tool to enable cross country comparison to monitor and track progress in the uptake of effective use of social media by emergency services or crisis managers.",,17-12-2013,,,,,,,,#739,,"",""
Crisis communication and COVID-19: Covering two Pacific tragedies with storytelling,"","Frontline journalism in the age of COVID-19 has posed particular challenges in dealing with personal risk, tackling an \xe2\x80\x98infodemic\xe2\x80\x99 of misinformation, and providing valuable news that can be used in vulnerable Pacific countries that have struggled with soaring infections and limited health infrastructure and resources. Five Pacific countries or territories have borne the brunt of the coronavirus pandemic\xe2\x80\x94Fiji, French Polynesia, Guam, Papua New Guinea, and Timor-Leste. This article introduces two examples of public health storytelling in crisis communication, one being a pregnant Papua New Guinea woman who walked 25 kilometres to the nearest hospital\xe2\x80\x94and died on reaching her destination; the other a pregnant Fijian nurse who died after battling COVID-19.",,30-09-2021,,,,,,,,#740,,"",""
RESCUE: A Resilient and Secure Device-to-Device Communication Framework for Emergencies,"","During disasters, existing telecommunication infrastructures are often congested or even destroyed. In these situations, mobile devices can form a backup communication network for civilians and emergency services using disruption-tolerant networking (DTN) principles. Unfortunately, such distributed and resource-constrained networks are particularly susceptible to a wide range of attacks such as terrorists trying to cause more harm. In this paper, we present RESCUE, a resilient and secure device-to-device communication framework for emergency scenarios that provides comprehensive protection against common attacks. RESCUE features a minimalistic DTN protocol that, by design, is secure against notable attacks such as routing manipulations, dropping, message manipulations, blackholing, or impersonation. To further protect against message flooding and Sybil attacks, we present a twofold mitigation technique. First, a mobile and distributed certificate infrastructure particularly tailored to the emergency use case hinders the adversarial use of multiple identities. Second, a message buffer management scheme significantly increases resilience against flooding attacks, even if they originate from multiple identities, without introducing additional overhead. Finally, we demonstrate the effectiveness of RESCUE via large-scale simulations in a synthetic as well as a realistic natural disaster scenario. Our simulation results show that RESCUE achieves very good message delivery rates, even under flooding and Sybil attacks.",,09-11-2020,,,,,,,,#741,,"",""
Crisis Communication Patterns in Social Media during Hurricane Sandy,"","Hurricane Sandy was one of the deadliest and costliest of hurricanes of the past few decades. Many states experienced significant power outage; however, many people used social media to communicate while having limited or no access to traditional information sources. Using machine learning techniques, this study explored the evolution of various communication patterns and determined user concerns that emerged over the course of Hurricane Sandy. The original data included \xe2\x88\xbc52M tweets coming from \xe2\x88\xbc13M users between October 14, 2012 and November 12, 2012. A topic model was run on \xe2\x88\xbc763K tweets from the top 4,029 most frequent users who tweeted about Sandy at least 100 times. Some 250 well-defined communication patterns based on perplexity were identified. Conversations of the most frequent and relevant users indicate the evolution of numerous storm-phase (warning, response, and recovery) specific topics. People were also concerned about storm location and time, media coverage, and activities of political leaders and celebrities. Also presented is each relevant keyword that contributed to one particular pattern of user concerns. Such keywords would be particularly meaningful in targeted information-spreading and effective crisis communication in similar major disasters. Each of these words can also be helpful for efficient hash-tagging to reach the target audience as needed via social media. The pattern recognition approach of this study can be used in identifying real-time user needs in future crises.",,30-05-2018,,,,,,,,#742,,"",""
